animalid,status,exotic,sexp,cage,fsummer2,.fgspr,dzkid
479,1,Local,Female,3-5 years,No fern,1,6
480,0,Exotic,Female,6 years,Fresh fern,0,6
481,1,Local,Female,9+years,Fresh fern,3,6
482,0,Local,Female,7-8 years,Fresh fern,3,6
483,0,Local,Male,6 years,Fresh fern,1,6
484,1,Local,Female,7-8 years,Fresh fern,0,6
485,0,Local,Female,6 years,Fresh fern,0,6
486,0,Local,Male,3-5 years,No fern,0,6
487,0,Exotic,Female,3-5 years,Fresh fern,0,6
488,0,Local,Female,7-8 years,Fresh fern,1,6
489,1,Exotic,Female,7-8 years,Fresh fern,0,6
490,1,Local,Female,3-5 years,Fresh fern,0,6
492,0,Local,Female,9+years,Fresh fern,0,6
493,1,Exotic,Female,3-5 years,Fresh fern,1,6
494,0,Local,Male,3-5 years,Dry fern,0,6
495,0,Local,Female,3-5 years,Dry fern,0,6
496,1,Local,Female,6 years,No fern,0,6
497,0,Local,Female,3-5 years,No fern,0,6
498,0,Exotic,Male,3-5 years,No fern,0,6
499,1,Local,Female,3-5 years,No fern,0,6
500,0,Local,Female,6 years,Fresh fern,0,6
501,0,Local,Female,3-5 years,No fern,0,6
502,1,Local,Female,9+years,Fresh fern,2,6
503,0,Exotic,Male,6 years,Fresh fern,3,6
504,0,NA,Female,9+years,Fresh fern,3,16
505,1,NA,Female,7-8 years,Fresh fern,3,16
507,1,Local,Female,3-5 years,Fresh fern,0,16
508,0,Local,Male,3-5 years,Fresh fern,3,16
509,0,Local,Female,3-5 years,Fresh fern,2,16
510,1,Local,Female,6 years,Fresh fern,0,16
511,0,Local,Female,9+years,Fresh fern,3,16
512,0,Exotic,Female,7-8 years,Fresh fern,3,16
513,0,NA,Male,9+years,Fresh fern,1,16
514,1,Local,Female,9+years,Fresh fern,3,16
515,0,Exotic,Male,3-5 years,Fresh fern,3,16
516,0,Local,Female,7-8 years,Fresh fern,3,12
517,0,Local,Male,9+years,Fresh fern,3,12
518,1,Local,Female,9+years,Fresh fern,3,12
519,0,Local,Female,9+years,Fresh fern,3,12
520,1,Local,Female,9+years,Fresh fern,3,12
521,0,Local,Female,9+years,Fresh fern,3,12
522,0,Local,Female,7-8 years,Fresh fern,3,12
523,1,Local,Female,9+years,Fresh fern,3,12
524,0,Local,Female,7-8 years,Fresh fern,3,12
525,0,Local,Female,6 years,Fresh fern,3,12
526,0,Local,Female,9+years,Fresh fern,3,12
527,1,Local,Female,9+years,Fresh fern,3,12
528,1,Local,Female,9+years,Not housed,3,7
529,0,Local,Female,9+years,Not housed,3,7
530,0,Local,Female,6 years,No fern,0,7
531,0,Exotic,Female,3-5 years,Not housed,1,3
532,0,Exotic,Female,3-5 years,Fresh fern,0,3
533,1,Local,Female,7-8 years,Not housed,1,3
534,1,Local,Female,7-8 years,Not housed,3,6
535,0,Local,Female,3-5 years,Not housed,3,6
536,0,Local,Male,3-5 years,Not housed,3,6
537,1,Exotic,Male,3-5 years,Not housed,3,6
538,0,Local,Female,3-5 years,No fern,3,6
539,0,Exotic,Female,3-5 years,Not housed,3,6
540,1,Exotic,Female,3-5 years,Not housed,3,6
541,0,Local,Female,7-8 years,Not housed,3,6
542,0,Local,Female,9+years,No fern,3,6
131,1,Local,Male,3-5 years,Dry fern,0,16
161,1,Local,Female,7-8 years,Dry fern,3,12
177,1,Local,Female,7-8 years,Dry fern,3,12
240,1,Local,Male,3-5 years,Dry fern,2,12
243,1,Local,Female,6 years,Dry fern,1,12
246,1,Local,Female,3-5 years,Dry fern,1,12
248,1,Local,Female,3-5 years,Dry fern,2,12
252,1,Local,Male,3-5 years,Dry fern,2,12
254,1,Local,Male,3-5 years,Dry fern,3,12
256,1,Local,Female,3-5 years,Dry fern,3,12
260,1,Local,Female,3-5 years,Dry fern,3,12
262,1,Local,Female,6 years,Dry fern,3,12
